Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
43,9,0.23,0.25,0.31,0.53
43,4,0.21,0.25,0.3,0.53
44,2,0.22,0.22,0.27,0.36
44,9,0.22,0.17,0.24,0.36
44,4,0.19,0.17,0.21,0.36
44,3,0.17,0.14,0.19,0.31
44,0,0.14,0.12,0.16,0.31
45,2,0.25,0.17,0.19,0.39
45,9,0.25,0.13,0.13,0.39
45,7,0.23,0.13,0.12,0.39
45,4,0.23,0.11,0.11,0.39
45,3,0.23,0.09,0.1,0.33
45,6,0.17,0.08,0.1,0.3
45,0,0.15,0.08,0.1,0.28
45,1,0.11,0.08,0.1,0.25
45,8,0.11,0.06,0.1,0.25
45,5,0.08,0.05,0.1,0.15
46,9,0.25,0.24,0.26,0.31
46,3,0.18,0.24,0.26,0.3
46,4,0.18,0.22,0.26,0.3
46,6,0.16,0.22,0.26,0.29
46,2,0.14,0.22,0.26,0.27
46,0,0.14,0.18,0.15,0.27
47,9,0.32,0.3,0.29,0.5
47,4,0.26,0.28,0.29,0.5
47,2,0.24,0.28,0.29,0.39
47,3,0.24,0.28,0.2,0.39
47,0,0.23,0.24,0.2,0.39
47,6,0.21,0.22,0.19,0.39
47,7,0.2,0.22,0.18,0.39
47,1,0.16,0.22,0.18,0.35
47,5,0.12,0.18,0.18,0.3
47,8,0.12,0.18,0.17,0.3
49,6,0.2,0.2,0.12,0.33
49,9,0.2,0.17,0.09,0.33
49,4,0.2,0.14,0.08,0.33
49,3,0.17,0.13,0.04,0.33
49,0,0.13,0.13,0.03,0.31
50,6,0.27,0.22,0.27,0.47
50,4,0.21,0.11,0.24,0.41
50,0,0.17,0.11,0.24,0.39
50,9,0.17,0.1,0.24,0.39
50,3,0.17,0.07,0.23,0.39
50,2,0.13,0.05,0.23,0.39
50,7,0.12,0.05,0.17,0.39
50,8,0.1,0.05,0.13,0.26
50,5,0.09,0.05,0.13,0.25
50,1,0.05,0.05,0.13,0.23
51,9,0.35,0.1,0.26,0.38
51,4,0.3,0.09,0.25,0.38
51,0,0.3,0.09,0.24,0.33
51,3,0.3,0.08,0.24,0.33
51,6,0.3,0.04,0.24,0.33
51,7,0.24,0.04,0.24,0.31
51,1,0.24,0.03,0.24,0.31
51,2,0.24,0.01,0.24,0.3
51,8,0.24,0.01,0.19,0.3
51,5,0.23,-0.03,0.17,0.19
52,9,0.29,0.19,0.32,0.41
52,3,0.26,0.19,0.28,0.41
52,4,0.24,0.18,0.28,0.41
53,3,0.02,0.11,0.13,0.25
54,2,0.34,0.27,0.32,0.44
54,9,0.34,0.27,0.32,0.44
54,4,0.32,0.25,0.27,0.44
54,3,0.32,0.22,0.26,0.4
54,1,0.32,0.22,0.25,0.35
54,0,0.32,0.2,0.24,0.35
54,6,0.32,0.2,0.22,0.35
54,7,0.29,0.2,0.22,0.35
54,8,0.2,0.1,0.16,0.3
54,5,0.12,0.06,0.16,0.21
55,6,0.23,0.29,0.27,0.33
57,3,0.41,0.31,0.37,0.54
57,4,0.41,0.28,0.37,0.53
57,9,0.31,0.25,0.37,0.52
57,7,0.28,0.25,0.28,0.52
57,0,0.27,0.25,0.28,0.49
57,1,0.24,0.25,0.28,0.49
57,6,0.24,0.18,0.28,0.49
57,2,0.21,0.15,0.28,0.41
57,8,0.21,0.15,0.27,0.36
57,5,0.16,0.15,0.27,0.25
58,4,0.36,0.15,0.35,0.41
58,7,0.29,0.13,0.35,0.41
58,3,0.29,0.11,0.35,0.38
58,9,0.28,0.1,0.35,0.38
58,6,0.27,0.1,0.3,0.38
58,0,0.27,0.08,0.3,0.34
58,2,0.21,0.07,0.3,0.31
