,Measure,Capec Id,MiniLM,ATTACK,GPT,Mpnet,Multilingual,Jaccard
0,T1059.002,Execution,0.4,0.29,0.83,0.53,0.61,0.09
0,T1059.010,Execution,0.52,0.19,0.84,0.48,0.6,0.11
0,T1059.009,Execution,0.46,0.23,0.85,0.46,0.64,0.12
0,T1059.007,Execution,0.37,0.24,0.83,0.41,0.55,0.08
0,T1059.011,Execution,0.46,0.22,0.82,0.46,0.47,0.12
0,T1059.008,Execution,0.5,0.34,0.85,0.55,0.68,0.11
0,T1059.001,Execution,0.63,0.36,0.87,0.58,0.7,0.12
0,T1059.006,Execution,0.52,0.4,0.86,0.47,0.6,0.12
0,T1059.004,Execution,0.51,0.34,0.84,0.55,0.56,0.1
0,T1059.005,Execution,0.44,0.34,0.83,0.47,0.51,0.09
0,T1059.003,Execution,0.56,0.27,0.85,0.57,0.63,0.09
0,T1092,Command and Control,0.66,0.29,0.87,0.47,0.64,0.16
0,T1586,Resource Development,0.49,0.46,0.84,0.5,0.48,0.13
0,T1586.003,Resource Development,0.41,0.36,0.83,0.4,0.48,0.13
0,T1586.002,Resource Development,0.48,0.5,0.83,0.51,0.43,0.15
0,T1586.001,Resource Development,0.42,0.44,0.82,0.42,0.45,0.18
0,T1554,Persistence,0.57,0.62,0.86,0.53,0.45,0.1
0,T1584,Resource Development,0.56,0.6,0.85,0.64,0.65,0.2
0,T1584.005,Resource Development,0.5,0.58,0.8,0.55,0.51,0.14
0,T1584.002,Resource Development,0.38,0.5,0.83,0.47,0.55,0.14
0,T1584.001,Resource Development,0.4,0.54,0.83,0.47,0.46,0.15
0,T1584.008,Resource Development,0.48,0.5,0.84,0.5,0.57,0.13
0,T1584.004,Resource Development,0.46,0.58,0.85,0.58,0.59,0.2
0,T1584.007,Resource Development,0.34,0.32,0.81,0.36,0.53,0.15
0,T1584.003,Resource Development,0.47,0.54,0.83,0.52,0.5,0.22
0,T1584.006,Resource Development,0.49,0.53,0.84,0.54,0.54,0.19
0,T1609,Execution,0.43,0.08,0.84,0.41,0.53,0.14
0,T1613,Discovery,0.51,0.42,0.87,0.54,0.48,0.14
0,T1659,Command and Control,0.49,0.59,0.85,0.52,0.61,0.14
0,T1659,Initial Access,0.47,0.45,0.86,0.37,0.57,0.11
0,T1136,Persistence,0.41,0.39,0.86,0.47,0.56,0.12
0,T1136.003,Persistence,0.28,0.3,0.8,0.24,0.43,0.11
0,T1136.002,Persistence,0.36,0.36,0.8,0.47,0.53,0.14
0,T1136.001,Persistence,0.33,0.4,0.81,0.45,0.39,0.13
0,T1543,Persistence,0.48,0.58,0.83,0.47,0.47,0.08
0,T1543,Privilege Escalation,0.56,0.53,0.83,0.5,0.43,0.15
0,T1543.005,Persistence,0.4,0.36,0.82,0.38,0.46,0.1
0,T1543.005,Privilege Escalation,0.49,0.44,0.8,0.39,0.43,0.12
0,T1543.001,Persistence,0.43,0.64,0.79,0.44,0.49,0.07
0,T1543.001,Privilege Escalation,0.4,0.4,0.78,0.42,0.37,0.12
0,T1543.004,Persistence,0.48,0.58,0.77,0.44,0.35,0.09
0,T1543.004,Privilege Escalation,0.5,0.54,0.78,0.47,0.4,0.11
0,T1543.002,Persistence,0.38,0.52,0.8,0.5,0.4,0.09
0,T1543.002,Privilege Escalation,0.39,0.41,0.8,0.48,0.35,0.12
0,T1543.003,Persistence,0.45,0.5,0.82,0.4,0.47,0.07
0,T1543.003,Privilege Escalation,0.45,0.31,0.83,0.39,0.36,0.12
0,T1555,Credential Access,0.6,0.69,0.88,0.52,0.58,0.12
0,T1555.006,Credential Access,0.47,0.63,0.86,0.38,0.65,0.08
0,T1555.003,Credential Access,0.56,0.6,0.88,0.47,0.57,0.05
0,T1555.001,Credential Access,0.47,0.63,0.85,0.49,0.67,0.1
0,T1555.005,Credential Access,0.61,0.67,0.88,0.52,0.77,0.08
0,T1555.002,Credential Access,0.52,0.61,0.83,0.42,0.62,0.07
0,T1555.004,Credential Access,0.51,0.67,0.84,0.55,0.61,0.08
