Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
84,0,0.29,0.24,0.3,0.36
84,5,0.27,0.2,0.3,0.36
84,1,0.26,0.2,0.3,0.34
84,4,0.26,0.17,0.28,0.34
84,8,0.22,0.16,0.28,0.34
84,9,0.21,0.16,0.27,0.31
84,3,0.2,0.16,0.16,0.3
84,6,0.14,0.15,0.16,0.3
84,2,0.12,0.15,0.13,0.3
84,7,0.07,-0.0,0.08,0.19
85,0,0.28,0.22,0.13,0.53
85,5,0.27,0.17,0.13,0.53
86,0,0.3,0.29,0.27,0.37
86,9,0.22,0.29,0.26,0.37
86,4,0.22,0.22,0.25,0.37
86,5,0.22,0.22,0.25,0.37
86,6,0.21,0.22,0.25,0.29
86,8,0.18,0.2,0.25,0.29
86,3,0.17,0.2,0.24,0.29
86,1,0.14,0.18,0.24,0.29
86,2,0.09,0.17,0.15,0.24
86,7,0.08,0.13,0.06,0.23
87,8,0.28,0.37,0.45,0.45
87,0,0.28,0.36,0.41,0.45
87,5,0.25,0.32,0.41,0.45
87,4,0.25,0.3,0.41,0.42
87,9,0.25,0.29,0.41,0.35
87,1,0.25,0.28,0.34,0.35
87,6,0.23,0.28,0.27,0.35
87,3,0.16,0.26,0.24,0.27
87,2,0.14,0.24,0.22,0.27
87,7,0.05,0.09,0.16,0.26
88,0,0.31,0.23,0.27,0.47
88,9,0.31,0.23,0.27,0.44
88,4,0.31,0.22,0.25,0.44
88,5,0.25,0.2,0.25,0.44
88,8,0.24,0.19,0.25,0.36
88,6,0.2,0.16,0.25,0.34
88,3,0.17,0.14,0.25,0.32
88,1,0.15,0.13,0.25,0.32
88,2,0.09,0.07,0.08,0.28
88,7,0.05,-0.0,0.05,0.28
89,0,0.2,0.28,0.25,0.43
90,9,0.41,0.36,0.36,0.52
92,0,0.19,0.3,0.23,0.25
92,1,0.13,0.26,0.23,0.24
92,5,0.13,0.25,0.21,0.24
93,1,0.28,0.4,0.4,0.4
94,0,0.35,0.29,0.35,0.46
94,3,0.35,0.29,0.35,0.35
94,1,0.34,0.27,0.35,0.35
94,5,0.34,0.23,0.33,0.35
94,9,0.34,0.23,0.32,0.32
94,2,0.34,0.22,0.3,0.32
94,8,0.34,0.21,0.3,0.32
94,4,0.34,0.21,0.28,0.31
94,6,0.31,0.21,0.23,0.28
94,7,0.21,0.21,0.21,0.28
95,0,0.28,0.27,0.37,0.45
95,1,0.28,0.23,0.37,0.45
95,5,0.28,0.23,0.33,0.45
95,4,0.28,0.23,0.32,0.42
95,9,0.2,0.23,0.32,0.36
95,8,0.2,0.23,0.29,0.32
95,3,0.17,0.23,0.25,0.32
95,2,0.17,0.14,0.19,0.32
95,6,0.17,0.13,0.19,0.29
95,7,-0.02,0.01,0.14,0.21
96,8,0.19,0.21,0.29,0.4
96,4,0.19,0.2,0.26,0.33
96,0,0.12,0.2,0.26,0.32
96,9,0.09,0.2,0.26,0.32
96,1,0.09,0.18,0.2,0.32
96,5,0.05,0.18,0.2,0.32
96,6,0.05,0.15,0.19,0.27
96,3,0.04,0.13,0.13,0.26
96,2,0.03,0.1,0.13,0.26
96,7,-0.11,0.05,0.1,0.2
97,7,0.29,0.55,0.29,0.58
98,9,0.3,0.33,0.35,0.29
98,1,0.3,0.28,0.31,0.29
98,0,0.3,0.28,0.3,0.27
98,6,0.3,0.27,0.3,0.27
98,5,0.23,0.26,0.3,0.27
98,3,0.18,0.26,0.3,0.25
98,8,0.17,0.22,0.3,0.25
98,4,0.15,0.22,0.24,0.25
98,2,0.13,0.22,0.21,0.23
98,7,0.12,0.14,0.17,0.23
100,1,0.25,0.32,0.34,0.34
101,9,0.3,0.25,0.34,0.42
101,0,0.3,0.18,0.3,0.42
101,4,0.3,0.18,0.3,0.42
101,5,0.28,0.18,0.3,0.42
101,6,0.27,0.18,0.3,0.36
101,8,0.23,0.18,0.3,0.33
101,3,0.2,0.12,0.21,0.32
101,1,0.16,0.06,0.21,0.32
101,2,0.12,0.05,0.13,0.32
101,7,0.06,0.03,0.13,0.32
102,9,0.21,0.2,0.38,0.36
104,8,0.31,0.34,0.45,0.49
107,9,0.25,0.15,0.3,0.37
108,0,0.24,0.17,0.24,0.35
109,8,0.28,0.18,0.19,0.48
110,0,0.3,0.23,0.38,0.36
112,8,0.34,0.4,0.28,0.53
